Nombre,Institución,No. Documentos AC,No. Documentos No AC,No. Libro,No. Editor de libro,No. Capítulo de libro,No. Subcapítulo o artículo de libro,No. Árbitro o dictaminador de libro,No. Árbitro o dictaminador de capítulo de libro,No. Coordinador de libro,No. Artículo científico,No. Editor de revista,No. Miembro de comité editorial,No. Editor asignado por número especial,No. Editor asignado por artículo,No. Árbitro de artículos de revista,No. Publicaciones derivadas de eventos colectivos,No. Conferencias/Congresos/Reuniones Cientificas,"No. Organización de eventos académicos, de extensión y difusión",No. Otras participaciones en eventos,No. Evaluador de proyectos,No. Premios,No. Informe interno anual de actividades,No. Sistema Nacional de Investigadores,No. Sistema Sinaloense de Investigadores y Tecnólogos,No. Academia Mexicana de Ciencias,Colaboradores
Sánchez Escalante A.,TAOA,11,17,0,0,3,0,0,0,0,6,0,0,0,0,3,0,4,0,0,0,0,0,1,0,0,"{'Vargas Sanchez R.D.': 12, 'Torres Martínez B.': 12, 'Torrescano Urrutia G.R.': 12, 'De la Rosa Alcaraz M.': 3, 'Castillo-Zamudio R.': 2, 'Esqueda Valle M.C.': 3, 'Soto Reyes N.': 1, 'MURILLO HERNANDEZ J.': 1, 'Huerta Leidenz N.': 5, 'Pérez Alvarez J.A.': 2, 'Fernández López J.': 2, 'Viuda Martos M.': 1, 'Rodríguez Carpena J.G.': 1, 'IBARRA ARIAS F.J.': 4, 'Sarturi J.': 1, 'Terán Rivera S.': 1, 'Santana Pérez Y.': 1, 'Vázquez Mandujano A.': 1, 'Gomez Ponce A.': 1, 'Sotelo Mundo R.R.': 2}"
Torrescano Urrutia G.R.,TAOA,5,13,0,0,3,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,"{'Vargas Sanchez R.D.': 12, 'Torres Martínez B.': 12, 'De la Rosa Alcaraz M.': 3, 'Sánchez Escalante A.': 12, 'Castillo-Zamudio R.': 2, 'Esqueda Valle M.C.': 3, 'Soto Reyes N.': 1, 'MURILLO HERNANDEZ J.': 1, 'Huerta Leidenz N.': 5, 'Pérez Alvarez J.A.': 2, 'Fernández López J.': 2, 'Viuda Martos M.': 1, 'Rodríguez Carpena J.G.': 1, 'IBARRA ARIAS F.J.': 4, 'Sarturi J.': 1, 'Terán Rivera S.': 1, 'Santana Pérez Y.': 1, 'Vázquez Mandujano A.': 1, 'Gomez Ponce A.': 1, 'Sotelo Mundo R.R.': 2}"
Muy Rangel M.D.,Culiacán,14,24,0,0,2,0,0,0,0,12,0,0,0,0,1,3,4,0,0,1,1,0,0,0,0,"{'San Martín Hernández C.': 4, 'Campos Sauceda J.P.': 4, 'Quintana Obregón E.A.': 5, 'Báez Sañudo M.A.': 4, 'Contreras Martínez R.': 4, 'Pérez Rubio V.': 4, 'Valenzuela Lagarda J.L.': 2, 'Rubio Carrasco W.': 3, 'Sánchez Valdez E.': 6, 'Carrillo Fasio J.A.': 3, 'Heredia . J.B.': 10, 'Estrada Arellano K.': 1, 'Vázquez Vázquez C.': 1, 'Betancourt Galindo R.': 1, 'Valenzuela Núñez L.M.': 1, 'García Hernández J.L.': 1, 'Gallegos Robles M.A.': 1, 'Osuna Martínez C.C.': 1, 'Benítez Lizárraga R.': 1, 'Castañeda Rodríguez D.': 1, 'Núñez Díaz M.': 1, 'Zazueta Ojeda I.': 1, 'Ortíz Arellano M.': 1, 'Aguilar Juárez M.': 1, 'Vargas Ortiz M.A.': 1, 'López Romero R.': 1, 'Rivera Castro V.': 2, 'Gutiérrez Dorado R.': 2, 'Gutierrez Grijalva E.P.': 4, 'Jiménez Maldonado M.': 1, 'Islas Osuna M.A.': 1, 'León Félix J.': 2, 'Tovar Pedraza J.M.': 1, 'Aviles Rivera Y.': 2, 'Hernández Mendoza A.': 1, 'Mata Haro V.': 1, 'Santiago López L.': 1, 'Pacheco Jiménez A.': 2, 'Lizardi Mendoza J.': 2, 'Uranga Soto M.': 1, 'Hernández Gutiérrez A.K:': 1, 'Pérez Meza N.': 1, 'Ayala Tafoya F.': 1, 'Vélez de la Rocha R.': 1, 'López Orona C.A.': 3, 'Martinez Gallardo J.A.': 3, 'Valdez Torres J.B.': 2, 'Hinojosa Gómez J.': 5, 'Moreno Ayala  D.': 1, 'Gastélum Chavira D.': 1, 'Valdez Lafarga O.': 1, 'Ley López N.': 4, 'Estrada Acosta M.D.': 1, 'Estrada Acosta M.': 1}"
Esqueda Valle M.C.,TAOV,5,9,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Gutiérrez Saldaña A.H.': 5, 'Coronado M.L.': 1, 'Álvarez Bajo O.': 2, 'Vargas Rosales G.': 3, 'Castillo-Zamudio R.': 1, 'Vargas Sanchez R.D.': 3, 'Sánchez Escalante A.': 3, 'Torres Martínez B.': 3, 'Torrescano Urrutia G.R.': 3, 'Ruvalcaba Olivarría L.': 1, 'Cruz Félix M.': 2, 'Angulo Sanchez L.': 2, 'Orozco Avitia J.A.': 2, 'Ramos Clamont Montfort G.': 1, 'Sánchez Flores M.': 1, 'García Jiménez J.': 1, 'Raymundo T.': 1, 'Martínez-González C.': 1, 'Hernández-Del Valle J.': 1, 'Hernández-Muñoz M.': 1, 'de la Fuente J.': 1, 'Ávila Ortiz A.': 1, 'Valenzuela R.': 1, 'Jiménez Leyva J.': 1, 'Morales Estrada R.': 1, 'Sánchez Chávez E.': 1, 'Muñoz Márquez E.': 1, 'Soto Córdova F.J.': 1, 'Martínez Téllez M.A.': 1, 'Vidal Gutiérrez M.': 1, 'Torres Moreno H.': 1, 'Muñoz Bernal Ó.': 1, 'Alvarez Parrilla E.': 1, 'Robles Zepeda R.E.': 1, 'Pérez Alvarez J.A.': 1, 'Fernández López J.': 1, 'Viuda Martos M.': 1, 'Rodríguez Carpena J.G.': 1, 'IBARRA ARIAS F.J.': 2, 'Terán Rivera S.': 1}"
Trujillo J.,Instituto Potosino de Investigación Científica y Tecnológica A.C.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Robledo-Márquez K.': 1, 'Ramírez V.': 1, 'González Córdova A.F.': 1, 'Ramírez Rodríguez Y.': 1, 'García-Ortega L. L.': 1}"
Alemán Mateo H.,Nutrición,17,20,0,0,0,1,0,0,0,2,0,0,0,0,9,1,5,1,1,0,0,0,0,0,0,"{'Dórame López N.': 1, 'Bobadilla Tapia L.': 1, 'Tapia Villaseñor A.': 1, 'Gallegos Aguilar A.C.': 2, 'Serna A.': 1, 'Esparza Romero J.': 4, 'Vidaña Espinoza H.': 2, 'López Teros M.': 1, 'Rosas Carrasco O.': 2, 'Luna Lopez A.': 2, 'Fernandez Iglesias V.': 1, 'Román Pérez R.': 1, 'Domínguez Ibáñez S.E.': 1, 'Quintana López V.': 1, 'López Teros M.T.': 1, 'Calderón de la Barca Cota A.M.': 1, 'Ortega Vélez M.I.': 1, 'García Hernández J.': 1, 'López Álvarez E.E.': 1, 'Hernández González C.': 1, 'Baeza Jimenez R.': 1, 'Vásquez Lara F.': 1, 'Vázquez Medina J.A.': 1, 'Montalvo Corral M.': 1, 'Chávez Mendoza C.': 1, 'Robles Sardín A.E.': 1, 'Portillo Abril G.E.': 1, 'Ponce Martínez J.A.': 1, 'Bolaños Villar A.V.': 1}"
Barajas Escamilla M.R.,Colegio de la Frontera Norte,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{'Sandoval Godoy S.A.': 2}
Abril Valdez E.M.,Desarrollo Regional,10,13,0,0,1,0,1,0,0,6,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,"{'Cubillas Rodríguez M.J.': 4, 'Domínguez Ibáñez S.E.': 2, 'Román Pérez R.': 4, 'Carrera Lugo M.': 1, 'Juarez Velarde M.': 2, 'Icedo Zamora T.': 1, 'Quintana López V.': 2, 'Mejía León M.': 1, 'Díaz López K.': 1, 'García López A.': 1, 'Dávila Ortiz M.': 1, 'Mendivil Apodaca G.': 1}"
Cubillas Rodríguez M.J.,Desarrollo Regional,2,6,0,0,1,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"{'Domínguez Ibáñez S.E.': 2, 'Abril Valdez E.M.': 4, 'Román Pérez R.': 4, 'Carrera Lugo M.': 1, 'Icedo Zamora T.': 1, 'Dávila Ortiz M.': 1, 'Quintana López V.': 1}"
Heredia Hernández D.,* Pendiente,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Hernández Moreno M.C.': 2, 'Leyva Trinidad D.A.': 1}"
Vargas González G.,Universidad Autónoma de Coahuila,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"{'Ramos Clamont Montfort G.': 3, 'Cueto Wong M.C.': 1, 'Galvan Calamaco Z.': 1, 'Marszalek J.': 1, 'Mares Zapata V.': 1, 'Guzmán Partida A.M.': 1, 'Armenta Corral R.I.': 1, 'Tortoledo Ortiz O.': 1}"
Muhlia Almazán A.T.,TAOA,5,8,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,"{'Gamero Mora E.': 2, 'Lawley J.': 1, 'Maronna M.': 1, 'Stampar S.': 1, 'Morandini A.': 1, 'Nevárez López C.': 1, 'Sánchez Paz J.': 1, 'Sastré Velásquez C.': 1, 'López Martínez J.': 1, 'Tánori Lozano A.': 1, 'López Baca M.': 1, 'Montalvo Corral M.': 1, 'Pinelli Saavedra A.': 1, 'Islava Lagarda T.Y.': 1, 'Dávila Ramirez J.L.': 1, 'Valenzuela Melendres M.': 1, 'González Ríos H.': 1, 'Hernández Acosta R.': 1, 'Huerta Ocampo J.A.': 1, 'Espinosa Plascencia A.': 1, 'Guzmán Partida A.M.': 1, 'Bojórques Velázquez E.': 1, 'Jimenez Canale J.': 1}"
López-Romero J.,Universidad de Sonora,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'González Ríos H.': 1, 'Valenzuela Melendres M.': 2, 'Ayala Zavala J.F.': 1, 'Meza-Callado A.': 1, 'Juneja V.K.': 1, 'Osoria M.': 1, 'García-Dávila J.': 1, 'Gupta P.': 1, 'Bermudez-Aguirre D.': 1, 'Gunes Altuntas E.': 1, 'Cosansu S.': 1}"
Vázquez Vázquez C.,* Pendiente,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Estrada Arellano K.': 1, 'Betancourt Galindo R.': 1, 'Muy Rangel M.D.': 1, 'Valenzuela Núñez L.M.': 1, 'García Hernández J.L.': 1, 'Gallegos Robles M.A.': 1}"
Soto Rodríguez S.A.,Mazatlán,7,10,0,0,0,0,0,0,0,5,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,"{'Gómez Gil Rodríguez Sala B.': 3, 'Lozano Olvera R.': 2, 'Aguilar Rendón K.G.': 2, 'Lopez Ordaz R.': 1, 'Cabello Zamora A.': 1, 'Yáñez J.': 1, 'Montoya Rodríguez L.': 1, 'Martínez Ortega A.': 1, 'Quintana Cazares J.C.': 1, 'Castillo Juárez H.': 1, 'Campos Montes G.': 1, 'Marrujo López F.I.': 2, 'Hernández Guzmán R.': 2, 'Abad Rosales S.M.': 1, 'Aguilar Rendón K.': 3, 'Lozano-Olvera R.': 1, 'González Gómez J.': 1, 'Cevallos L.': 1, 'Osuna Juarez A.': 1, 'López Saiz C.M.': 1, 'Martínez Montaño E.': 1, 'Osuna I.': 1}"
Asaff Torres A.J.,Ciencia de los Alimentos,2,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"{'Chavarria Quicaño E.': 1, 'Amaya Delgado L.': 1, 'Arellano Plaza M.': 1, 'Mateos Diaz J.C.': 2, 'Beraud Martínez L.': 1, 'Betancourt Lozano M.': 1, 'Gómez Gil Rodríguez Sala B.': 1, 'Monroy-Hermosillo O.': 1, 'Franco Nava M.A.': 1, 'Guerrero Elías H.': 1, 'Camacho Ruiz M.A.': 1, 'Espinosa Salgado R.': 1, 'Camacho Ruiz R.M.': 1, 'Rodríguez Gonzalez J.A.': 1, 'De la Torre González F.': 1}"
Aguilar Juárez M.,Facultad de Ciencias del Mar,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Osuna Martínez C.C.': 1, 'Benítez Lizárraga R.': 1, 'Castañeda Rodríguez D.': 1, 'Núñez Díaz M.': 1, 'Muy Rangel M.D.': 1, 'Rubio Carrasco W.': 1, 'Zazueta Ojeda I.': 1, 'Ortíz Arellano M.': 1}"
Campos Montes G.,Universidad Autónoma Metropolitana-Xochimilco,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Lopez Ordaz R.': 1, 'Cabello Zamora A.': 1, 'Yáñez J.': 1, 'Montoya Rodríguez L.': 1, 'Gómez Gil Rodríguez Sala B.': 1, 'Soto Rodríguez S.A.': 1, 'Martínez Ortega A.': 1, 'Quintana Cazares J.C.': 1, 'Castillo Juárez H.': 1}"
Ochoa Lara K.L.,UNISON,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Gómez Vega J.': 1, 'Vasquez-Cornejo A.': 1, 'Juarez Sanchez O.': 1, 'Corona Martínez D.': 1, 'Ochoa Terán A.': 1, 'López Gastélum K.A.': 1, 'Sotelo Mundo R.R.': 1, 'Santacruz Ortega H.C.': 1, 'Galvez Ruiz J.': 1, 'Pérez González R.': 1}"
Quiroz-Castillo J.M.,* Anónima,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Leyva Verduzco A.': 1, 'Chan-Chan L.': 1, 'Ramirez-Mendoza C.': 1, 'Castillo Ortega M.M.': 1, 'Plascencia Martínez D.': 1, 'López Peña I.': 1, 'García Sifuentes C.O.': 1}"
García Hernández J.,Guaymas,13,23,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,5,0,1,0,0,0,0,0,"{'Gil Mendoza L.': 1, 'Ramírez Albores J.': 1, 'Burgara Estrella A.J.': 1, 'Aguilera Marquez D.': 3, 'Bastidas Bastidas P.J.': 4, 'Leyva García G.N.': 4, 'Jara Marini M.E.': 1, 'Basauri Molina A.': 1, 'Jaume Schinkel M.': 1, 'Rodríguez Vásquez S.': 1, 'Gardea Béjar A.A.': 2, 'Romo Chacón A.': 1, 'González Ríos H.': 1, 'Orozco Avitia J.A.': 1, 'Leyva Morales J.': 2, 'Calderon Araya R.': 1, 'Palma Rubilar P.': 1, 'Zambrano Soria M.': 1, 'Olmeda Rubio C.': 1, 'Romo Gomez C.': 1, 'Acevedo Sandoval O.': 2, 'Camacho López C.': 1, 'Durán Ramírez R.': 1, 'Cueto Wong C.': 1, 'Armenta Corral R.I.': 2, 'Ramos Clamont Montfort G.': 2, 'Sandoval Larios G.': 1, 'Palafox Felix S.': 1, 'Balandrán Quintana R.R.': 1, 'Valdez Torres J.B.': 1, 'Espinosa Reyes G.': 1, 'Bautista F.': 1, 'Gutiérrez Valenzuela A.': 1, 'Morales Valenzuela R.': 1, 'Madero Bautista L.': 3, 'Leyva Morales J.B.': 1, 'Hernández Moreno M.C.': 2, 'Ortega Vélez M.I.': 2, 'Cisneros Mata M.A.': 1, 'Leyva Trinidad D.A.': 1, 'Gallego Gauna C.': 1, 'Rivero Montes L.K.': 3, 'Paredes Aguilar M.C.': 2, 'Gallo Reynoso J.P.': 1, 'Llamas Romo A.': 1, 'Pérez Tello M.G.': 2, 'Barba Acuña I.D.': 2, 'Valdez Cisneros E.': 1, 'Hernández Morales T.': 1, 'Amador-Alcalá S.': 1, 'Valdez Coronel C.': 1, 'López Álvarez E.E.': 2, 'Islas Pacheco J.': 1, 'Moreno Sarabia C.': 1, 'Riesgo Ruiz A.': 1, 'Angulo Montoya Z.': 1, 'Campos Sánchez S.': 1, 'Alemán Mateo H.': 1, 'Esparza Romero J.': 1, 'Calderón de la Barca Cota A.M.': 1, 'Hernández González C.': 1, 'Baeza Jimenez R.': 1, 'Vásquez Lara F.': 1, 'Vázquez Medina J.A.': 1, 'Montalvo Corral M.': 1, 'Chávez Mendoza C.': 1, 'Robles Sardín A.E.': 1, 'Gallegos Aguilar A.C.': 1, 'Portillo Abril G.E.': 1, 'Ponce Martínez J.A.': 1, 'Bolaños Villar A.V.': 1}"
Gutierrez Grijalva E.P.,Culiacán,4,15,0,0,2,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"{'Valdez Baro O.': 2, 'Jimenez Ortega L.': 2, 'Cabanillas Bojórquez L.': 4, 'Heredia . J.B.': 13, 'Elizalde Romero C.': 2, 'Picos Salas M.': 1, 'Leyva López N.': 5, 'Bastidas Bastidas P.J.': 4, 'Antunes Ricardo M.': 1, 'Angulo Escalante M.A.': 2, 'Rivera Castro V.': 2, 'Gutiérrez Dorado R.': 2, 'Muy Rangel M.D.': 4, 'Gaytán Martínez M.': 1, 'Santos Zea L.': 1, 'Contreras Angulo L.A.': 4, 'Cabanillas Ponce De Leon R.': 1, 'Rodriguez Anaya L.Z.': 1, 'León Félix J.': 1, 'Beltrán Ontiveros S.A.': 1, 'Manjarrez Quintero J.': 1, 'García Estrada R.S.': 1, 'Pacheco Jiménez A.': 2, 'Lizardi Mendoza J.': 2, 'Quintana Obregón E.A.': 2, 'Germán Soto B.': 1, 'Garcia Carrasco M.': 2, 'Lopez Cardoso F.': 1, 'Ontiveros Apodaca N.': 1, 'Arámburo Gálvez J.': 1, 'Figueroa Salcido O.': 1, 'Gastélum Chavira D.': 1, 'Cárdenas Torres F.I.': 1, 'Picos Corrales L.': 1, 'Licea Claverie A.': 1}"
Huerta Ocampo J.A.,Ciencia de los Alimentos,20,32,0,0,1,0,0,0,0,8,1,3,0,0,4,2,9,2,2,0,0,0,0,0,0,"{'García Coronado H.': 1, 'de Jesús-Campos D.': 2, 'Ruiz Ortega  H.': 1, 'Ojeda Contreras A.J.': 2, 'Anaya Dick J.': 1, 'Domínguez Rosas E.': 1, 'Tiznado Hernández M.E.': 1, 'Hernández Oñate M.A.': 3, 'García López H.': 2, 'Palafox Felix M.': 3, 'Ordaz Ortiz J.J.': 1, 'Guevara Domínguez P.': 1, 'Robles Burgueño M.R.': 1, 'Vázquez Moreno L.': 2, 'Encarnación Guevara S.': 3, 'Hernández Ortiz M.': 2, 'Cabrera Ruiz R.': 3, 'Caña Bozada V.': 1, 'Bojórquez Velázquez E.': 2, 'Elizalde Contreras J.M.': 1, 'Ruiz May E.': 2, 'Morales Serna F.N.': 1, 'Jimenez Canale J.': 2, 'Navarro López L.R.': 1, 'Burgara Estrella A.J.': 1, 'Silva Campa E.': 2, 'Velázquez Contreras E.F.': 1, 'Sarabia Sainz J.A.': 2, 'Ramírez Suárez J.C.': 2, 'Alvarez Armenta A.': 1, 'López Zavala A.A.': 1, 'Corona Martínez D.': 1, 'Sotelo Mundo R.R.': 1, 'Pacheco Aguilar R.': 1, 'Morales Amparano M.': 2, 'Terán M.': 1, 'Terán Juárez L.M.': 1, 'Espinosa Plascencia A.': 2, 'Hernández Acosta R.': 1, 'Muhlia Almazán A.T.': 1, 'Guzmán Partida A.M.': 2, 'Bojórques Velázquez E.': 1, 'González Noriega J.': 1, 'Valenzuela Melendres M.': 1, 'Hernández Mendoza A.': 1, 'Astiazarán García H.F.': 3, 'Islava Lagarda T.Y.': 1, 'Tortoledo Ortiz O.': 1, 'de la Garza Hernandez A.': 1, 'Peña Ramos E.A.': 1, 'García López A.': 1, 'Aguirre von Webeser E.': 2, 'Delgadillo Velázquez J.': 2, 'Carvajal Millán E.': 2, 'Aguirre García M.': 1, 'Alday E.': 1, 'López García A.': 1, 'Lagarda Díaz I.': 2, 'Candia Plata M.D.': 1, 'Martinez Soto J.': 1, 'Carvallo Ruiz T.': 1, 'Orozco Avitia J.A.': 1, 'Gardea Béjar A.A.': 1, 'Sandoval Larios G.': 1, 'García Galaz A.': 1, 'Ramos Clamont Montfort G.': 1, 'Encinas Arzate J.': 1, 'Márquez Ríos E.': 1, 'López Elias J.A.': 1, 'Torres Areola W.': 1, 'Carvallo Ruiz M.G.': 1}"
Cabrera Ruiz R.,Ciencia de los Alimentos,5,6,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,"{'García López H.': 2, 'Palafox Felix M.': 3, 'Ordaz Ortiz J.J.': 1, 'Guevara Domínguez P.': 1, 'Robles Burgueño M.R.': 1, 'Vázquez Moreno L.': 1, 'Encarnación Guevara S.': 1, 'Hernández Ortiz M.': 1, 'Huerta Ocampo J.A.': 3, 'Perez Camarillo J.P.': 2, 'Gonzalez Mendoza V.M': 2, 'Vargas Arispuro I.C.': 2, 'Martínez Téllez M.A.': 2, 'García López A.': 1, 'Aguirre von Webeser E.': 2, 'Hernández Oñate M.A.': 1}"
Rodríguez Montes G.,* Pendiente,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Estrada Godinez J.': 1, 'Alaníz González A.': 1, 'Abdo de la Parra M.I.': 1, 'Bañuelos Vargas I.': 1}"
Lizardi Mendoza J.,TAOA,7,28,0,0,2,0,0,0,0,11,0,0,0,0,3,0,11,0,0,1,0,0,0,0,0,"{'Armenta Aispuro P.': 2, 'Rouzaud Sández O.': 2, 'López Franco Y.L.': 6, 'Cárdenas-López J.': 1, 'Rosell C.': 2, 'Cárdenas López J.L.': 1, 'Góngora Chi G.': 3, 'Quihui Cota L.': 8, 'López Mata M.A.': 7, 'Pérez Morales R.': 5, 'Plascencia Jatomea M.': 3, 'Cortez Rocha M.O.': 1, 'Rodríguez Félix F.': 1, 'Mouriño Pérez R.R.': 1, 'Sánchez Mariñez R.I.': 1, 'López Meneses A.K.': 2, 'Miranda Arizmendi V.': 2, 'Fimbres Olivarría D.': 2, 'Miranda Baeza A.': 1, 'Rascón Chu A.': 2, 'Márquez Escalante J.A.': 2, 'Méndez Encinas M.A.': 1, 'Carvajal Millán E.': 2, 'Hernández Abril P.': 1, 'Luque Alcarz A.G.': 1, 'Gómez Rodríguez G.': 1, 'González García G.': 1, 'Álvarez Bajo O.': 1, 'García Sifuentes C.O.': 1, 'Argüelles Monal W.M.': 5, 'Coca Hidalgo J.': 2, 'Recillas Mota M.T.': 4, 'Fernandez Quiroz D.': 1, 'Peniche Covas C.': 2, 'Goycoolea F.': 1, 'Pacheco Jiménez A.': 2, 'Heredia . J.B.': 2, 'Gutierrez Grijalva E.P.': 2, 'Quintana Obregón E.A.': 3, 'Muy Rangel M.D.': 2, 'Peñúñuri Pacheco N.': 1, 'Moreno Garcia Y.': 1, 'González Ríos H.': 1, 'Astiazarán García H.F.': 2, 'Tortoledo Ortiz O.': 1, 'Pérez-Báez A.': 1, 'Dávila Ramirez J.L.': 1, 'Valenzuela Melendres M.': 1, 'González González J.': 3, 'Guerrero Encinas I.': 4, 'Acuña Juanz A.': 2, 'González Aguilar G.A.': 3, 'Ayala Zavala J.F.': 2, 'López Bemúdez L.': 1, 'Rosas Burgos E.C.': 1, 'Gálvez Iriqui A.C.': 1, 'Gutiérrez Martínez P.': 1, 'Acuña Gallardo A.': 1, 'Ponce Acosta C.': 1, 'Morales Figueroa G.G.': 5, 'Sánchez Escalante J.J.': 1, 'Martínez Robinson K.G.': 1, 'Hernández Cruz A.': 1, 'López Mata M.': 1, 'Villegas Ochoa M.A.': 1, 'López Gastélum A.': 1, 'Fernández Quiroz J.D.': 2, 'Silva Gutiérrez L.L.': 3, 'Briceño Verduzco L.': 1, 'Hernández Mendoza E.': 1, 'Tonopomea Aragón C.': 1, 'Ruiz Pardo C.A.': 1}"
Luque Alcarz A.G.,* Anónima,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Hernández Téllez C.N.': 1, 'Graciano Verdugo A.': 1, 'Toledo Guillén A.R.': 1, 'Hernández Abril P.': 2, 'López Meneses A.K.': 1, 'Lizardi Mendoza J.': 1, 'Plascencia Jatomea M.': 1}"
Hernández Abril P.,Universidad Estatal de Sonora,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Luque Alcarz A.G.': 2, 'Hernández Téllez C.N.': 1, 'Graciano Verdugo A.': 1, 'Toledo Guillén A.R.': 1, 'López Meneses A.K.': 1, 'Lizardi Mendoza J.': 1, 'Plascencia Jatomea M.': 1}"
Dominguez Avila J.A.,TAOV,28,30,0,0,0,0,0,0,0,5,0,0,0,0,22,0,3,0,0,0,0,0,0,0,0,"{'Salazar López N.': 1, 'Montiel Herrera M.': 3, 'Corella Salazar D.': 1, 'Rodrigo García J.': 1, 'Astiazarán García H.F.': 1, 'Villegas Ochoa M.A.': 4, 'González Aguilar G.A.': 7, 'Zuñiga Martinez B.': 5, 'Robles Sánchez R.M.': 4, 'Ayala Zavala J.F.': 6, 'Viuda Martos M.': 4, 'López Díaz J.A.': 1, 'Torres García G.': 1, 'Enciso Martínez Y.': 1, 'Perez Delgado F.': 1, 'García Villa M.D.': 1, 'Fernandez Quiroz D.': 1, 'Martínez Martínez A.': 1}"
Rodríguez Ramírez R.,DC,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Avila Villa L.': 1, 'Barco Mendoza G.': 1, 'Villanueva Zayas J.': 1, 'Martínez Porchas M.': 1, 'Villa Lerma A.': 2, 'Vallejo Galland B.': 1, 'Delgado Domínguez J.': 1, 'Valle Sánchez S.': 1, 'Ávila-Villa L.A.': 1, 'Wall Medrano A.': 1, 'De la Rosa L.A.': 1, 'Muñoz Bernal Ó.': 1, 'González Córdova A.F.': 1, 'Arellano Gil M.': 1}"
López Cuevas O.,Culiacán,12,16,0,0,0,0,0,0,0,3,0,0,0,0,6,1,1,2,1,2,0,0,0,0,0,"{'Gurrola Ramírez A.': 1, 'Chaidez Quiroz C.': 5, 'Navarro Ocaña A.': 1, 'Medrano Félix J.A.': 5, 'González Gómez J.': 1, 'González López I.': 2, 'Silva Beltrán N.P.': 1, 'Castro Del Campo N.': 5, 'Garrido Palazuelos L.': 4, 'Aguirre Sánchez J.': 1, 'González Torres B.': 4, 'Guerra Rodríguez J.': 1, 'Verdugo Arredondo V.': 1, 'Mukhtar M.': 2, 'Ali-Khan S.': 1, 'Ahmed-Khan H.': 2, 'Aguirre Sánchez J.R.': 2}"
