Nombre,Institución,No. Documentos AC,No. Documentos No AC,No. Libro,No. Editor de libro,No. Capítulo de libro,No. Subcapítulo o artículo de libro,No. Árbitro o dictaminador de libro,No. Árbitro o dictaminador de capítulo de libro,No. Coordinador de libro,No. Artículo científico,No. Editor de revista,No. Miembro de comité editorial,No. Editor asignado por número especial,No. Editor asignado por artículo,No. Árbitro de artículos de revista,No. Publicaciones derivadas de eventos colectivos,No. Conferencias/Congresos/Reuniones Cientificas,"No. Organización de eventos académicos, de extensión y difusión",No. Otras participaciones en eventos,No. Evaluador de proyectos,No. Premios,No. Informe interno anual de actividades,No. Sistema Nacional de Investigadores,No. Sistema Sinaloense de Investigadores y Tecnólogos,No. Academia Mexicana de Ciencias,Colaboradores
Vargas Ortiz M.A.,TAOA,6,9,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Quintana Obregón E.A.': 4, 'Martínez Téllez M.A.': 1, 'Aispuro Hernández E.': 1, 'López Martínez L.X.': 2, 'González Córdova A.F.': 6, 'Hernández Mendoza A.': 6, 'Vallejo Galland B.': 5, 'Castro López C.': 1, 'Muy Rangel M.D.': 1, 'Heredia . J.B.': 1, 'Pérez Rubio V.': 1, 'López Romero R.': 1, 'San Martín Hernández C.': 1, 'Ayala Zavala J.': 2, 'Castillo-Romero T.': 4, 'Méndez Romero J.': 1, 'Santiago López L.': 2, 'Mendez Romero J.': 2, 'Ayala Zavala J.F.': 1, 'Salgado Cervantes M.': 2, 'González Aguilar G.A.': 1}"
Hernández Mendoza A.,TAOA,15,38,0,0,7,0,0,0,0,15,0,0,0,0,0,3,10,0,1,2,0,0,0,0,0,"{'Vallejo Galland B.': 22, 'Reyes Díaz R.': 6, 'Beltrán Barrientos L.M.': 9, 'González Córdova A.F.': 23, 'López Martínez L.X.': 1, 'Quintana Obregón E.A.': 1, 'Vargas Ortiz M.A.': 6, 'Castro López C.': 3, 'Romero Luna H.': 1, 'García H.S.': 4, 'López Pérez A.': 1, 'Santiago López L.': 9, 'Estrada Montoya M.C.': 3, 'Torres Llanez M.J.': 4, 'Méndez Romero J.': 5, 'Pastor Palacios G.': 1, 'García Romo J.S.': 1, 'Domínguez Pérez L.': 1, 'Sigala Robles R.': 1, 'Mata Haro V.': 2, 'Wall Medrano A.': 1, 'Rendón Rosales M.': 1, 'Mazorra Manzano M.A.': 1, 'García Galindo H.S.': 1, 'Beltrán Barrientos L.': 2, 'Aviles Rivera Y.': 1, 'Heredia . J.B.': 1, 'Muy Rangel M.D.': 1, 'Cuevas González P.': 1, 'Castro Salomon M.': 3, 'González Noriega J.': 2, 'Valenzuela Melendres M.': 2, 'Astiazarán García H.F.': 3, 'Islava Lagarda T.Y.': 2, 'Tortoledo Ortiz O.': 1, 'Huerta Ocampo J.A.': 1, 'de la Garza Hernandez A.': 1, 'Peña Ramos E.A.': 2, 'González Pérez C.': 1, 'Aispuro Hernández E.': 1, 'Sánchez-Sánchez M.': 1, 'Rochín Wong C.S.': 1, 'Tánori Córdova J.': 1, 'Vargas Arispuro I.C.': 1, 'Ayala Zavala J.F.': 2, 'Martínez Téllez M.A.': 1, 'Heredia Castro P.': 1, 'Ayala Zavala J.': 2, 'Castillo-Romero T.': 3, 'Mendez Romero J.': 3, 'Salgado Cervantes M.': 1, 'Meléndez Torres J.M.': 1, 'Castro Acosta M.': 1, 'Márquez Núñez L.': 1, 'Ramos Clamont Montfort G.': 1}"
López Franco Y.L.,TAOA,10,15,0,0,2,0,0,0,0,4,0,0,0,0,5,1,2,0,0,1,0,0,0,0,0,"{'Armenta Aispuro P.': 2, 'Rouzaud Sández O.': 2, 'Lizardi Mendoza J.': 6, 'Cárdenas-López J.': 1, 'Rosell C.': 2, 'Cárdenas López J.L.': 1, 'Góngora Chi G.': 2, 'Quihui Cota L.': 2, 'López Mata M.A.': 2, 'Pérez Morales R.': 1, 'Gómez Rodríguez G.': 1, 'González García G.': 1, 'Álvarez Bajo O.': 1, 'García Sifuentes C.O.': 1, 'Argüelles Monal W.M.': 1, 'González Carranza Z.': 1, 'Bone G.': 1, 'Castro Castro A.': 1, 'González-Elizondo S.': 1, 'Soto Luzanía X.': 1, 'Koech O.': 1, 'Parr T.': 1, 'Kilawe C.': 1, 'Velázquez-Quiñonez S.': 1, 'González Laredo R.F.': 1, 'Ríos Saucedo J.C.': 1, 'Peñúñuri Pacheco N.': 1, 'Moreno Garcia Y.': 1, 'González Ríos H.': 1, 'Astiazarán García H.F.': 1, 'Tortoledo Ortiz O.': 1, 'Pérez-Báez A.': 1, 'Dávila Ramirez J.L.': 1, 'Valenzuela Melendres M.': 1, 'Martinez Garcia A.': 1, 'Ramírez Suárez J.C.': 1, 'Torres Llanez M.J.': 1, 'Mazorra Manzano M.A.': 1}"
Duarte-Sierra A.,* Pendiente,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"{'Lagarda-Clark E.': 1, 'Tiznado Hernández M.E.': 2}"
Almazán Rueda P.,Mazatlán,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"{'Puello Cruz A.C.': 2, 'Martínez Rodríguez I.E.': 1, 'Aguilar Zárate G.': 1, 'Hernández Sain J.': 1, 'Hernández González C.': 1, 'García Aguirre J.': 1, 'Abdo de la Parra M.I.': 1, 'Plascencia González H.G.': 1, 'Rodríguez Ibarra L.E.': 1, 'Domínguez Jiménez V.P.': 1, 'Sánchez Rodríguez M.A.': 1, 'López Osorio Y.': 1, 'Montijo Galindo A.': 1, 'Cervantes Escobar A.': 1, 'Ceballos Bernal M.C.': 1, 'Hernández Cornejo R.': 1, 'Medina Guerrero R.M.': 1, 'Velasco Blanco G.': 1, 'Bolán Mejía M.C.': 1, 'Enciso Ibarra J.': 1, 'Aguilar Rendón K.': 1, 'Abad Rosales S.M.': 1, 'Marrujo López F.I.': 1, 'Lozano Olvera R.': 1, 'Santos Ballardo D.U.': 1, 'Betancourt Lozano M.': 1, 'Luna Avelar K.D.': 1, 'Morales Covarrubias M.S.': 1, 'Silva Alonso F.': 1, 'VEGA VALENZUELA M.': 1, 'Angulo García X.C.': 1, 'Durán Niebla J.A.': 1}"
García Salazar E.M.,Ciencia de los Alimentos,10,11,0,0,2,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,"{'Rosas Baños M.': 4, 'Lara Figueroa H.': 2, 'Martínez Blanco E.': 1, 'Santiago Vázquez O.': 1, 'García Pérez B.': 1}"
Rosas Baños M.,Instituto Politécnico Nacional,3,4,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'García Salazar E.M.': 4, 'Santiago Vázquez O.': 1, 'García Pérez B.': 1}"
Islas Osuna M.A.,TAOV,17,24,0,0,1,0,0,0,0,4,0,0,0,0,3,4,4,3,4,0,0,0,1,0,0,"{'Gil Salido A.': 2, 'Rojas Cabeza J.': 1, 'Sotelo Mundo R.R.': 5, 'Sortillón Sortillón A.': 1, 'Contreras Martínez R.': 1, 'Osuna Enciso T.': 1, 'Báez Sañudo M.A.': 1, 'Moreno Córdova E.': 3, 'Álvarez Armenta A.': 1, 'García Orozco K.D.': 3, 'Arvizu Flores A.A.': 1, 'Robles Zepeda R.E.': 5, 'López Zavala A.A.': 1, 'Laino A.': 1, 'López Virgen A.': 1, 'Dautt  Castro M.': 1, 'Ulloa Llanes L.': 1, 'Casas Flores S.': 1, 'Contreras Vergara C.A.': 7, 'Hernández Oñate M.A.': 1, 'Vélez de la Rocha R.': 1, 'Jiménez Maldonado M.': 1, 'León Félix J.': 1, 'Tovar Pedraza J.M.': 1, 'Muy Rangel M.D.': 1, 'Munguía Nolan J.': 2, 'García Puga J.A.': 2, 'Valenzuela J.G.': 4, 'Ulloa Mungarro L.': 2, 'Sánchez Paredes E.': 2, 'Gastélum Cano J.': 3, 'García Galaz A.': 2}"
Virgen Ortiz J.J.,TAOV,3,9,0,0,1,0,0,0,0,2,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,"{'Castillo Sánchez A.': 1, 'Sañudo Barajas J.A.': 1, 'Osuna Castro J.A.': 1, 'Colín Chavez C.': 4, 'Martínez Téllez M.A.': 4, 'Avelino-Ramírez C.': 1, 'Gallegos Santoyo N.': 1, 'Miranda-Ackerman M.': 1, 'Topete Betancourt A.': 1, 'MARTÍNEZ FLORES H.': 1, 'Jiménez Sandoval S.': 1, 'Figueroa Cárdenas J.': 1, 'Espino Valencia J.': 1, 'Garnica Romo M.': 1, 'Gómez Ayala M.': 1, 'VILLANUEVA GÓMEZ G.': 1, 'MORALES GUERRERO A.': 1, 'Tapia Esquivel K.': 1, 'Peralta . E.': 1, 'Quintero Reyes I.E.': 1, 'Zepeda Coutiño L.': 1, 'Castañeda Valbuena D.': 1, 'Flores Guillén E.': 1, 'Caballero Roque A.': 1, 'Tacias Pascacio V.C.': 1, 'Buitrago Fernández E.': 1, 'Jiménez Lobato V.': 1, 'Patiño Conde V.': 1, 'Núñez Farfán J.': 1, 'Sanchez Cerpa K.': 1, 'Aispuro Hernández E.': 1, 'Vargas Arispuro I.C.': 1}"
Osuna Castro J.A.,Universidad de Colima,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Castillo Sánchez A.': 1, 'Sañudo Barajas J.A.': 1, 'Virgen Ortiz J.J.': 1}"
